FECHA,PRODUCTO,PRECIO_SINTETICO,CANTIDAD
2025-03-09,Ajo,21.63,Atado/manojo - 4 Kg
2025-03-10,Ajo,22.03,Atado/manojo - 4 Kg
2025-03-11,Ajo,20.0,Atado/manojo - 4 Kg
2025-03-12,Ajo,19.64,Atado/manojo - 4 Kg
2025-03-13,Ajo,23.47,Atado/manojo - 4 Kg
2025-03-14,Ajo,24.37,Atado/manojo - 4 Kg
2025-03-15,Ajo,21.33,Atado/manojo - 4 Kg
2025-03-16,Ajo,23.29,Atado/manojo - 4 Kg
2025-03-17,Ajo,21.82,Atado/manojo - 4 Kg
2025-03-18,Ajo,19.62,Atado/manojo - 4 Kg
2025-03-19,Ajo,20.72,Atado/manojo - 4 Kg
2025-03-20,Ajo,25.08,Atado/manojo - 4 Kg
2025-03-21,Ajo,21.6,Atado/manojo - 4 Kg
2025-03-22,Ajo,24.46,Atado/manojo - 4 Kg
2025-03-23,Ajo,15.76,Atado/manojo - 4 Kg
2025-03-24,Ajo,22.31,Atado/manojo - 4 Kg
2025-03-25,Ajo,20.51,Atado/manojo - 4 Kg
2025-03-26,Ajo,19.4,Atado/manojo - 4 Kg
2025-03-27,Ajo,20.18,Atado/manojo - 4 Kg
2025-03-28,Ajo,16.02,Atado/manojo - 4 Kg
2025-03-29,Ajo,19.56,Atado/manojo - 4 Kg
2025-03-30,Ajo,20.71,Atado/manojo - 4 Kg
2025-03-31,Ajo,22.96,Atado/manojo - 4 Kg
2025-04-01,Ajo,18.96,Atado/manojo - 4 Kg
2025-04-02,Ajo,18.38,Atado/manojo - 4 Kg
2025-04-03,Ajo,19.0,Atado/manojo - 4 Kg
2025-04-04,Ajo,21.83,Atado/manojo - 4 Kg
2025-04-05,Ajo,20.66,Atado/manojo - 4 Kg
2025-04-06,Ajo,18.94,Atado/manojo - 4 Kg
2025-04-07,Ajo,21.03,Atado/manojo - 4 Kg
2025-04-08,Ajo,20.19,Atado/manojo - 4 Kg
2025-04-09,Ajo,21.94,Atado/manojo - 4 Kg
2025-04-10,Ajo,16.6,Atado/manojo - 4 Kg
2025-04-11,Ajo,17.34,Atado/manojo - 4 Kg
2025-04-12,Ajo,17.22,Atado/manojo - 4 Kg
2025-04-13,Ajo,15.07,Atado/manojo - 4 Kg
2025-04-14,Ajo,18.59,Atado/manojo - 4 Kg
2025-04-15,Ajo,18.52,Atado/manojo - 4 Kg
2025-04-16,Ajo,18.01,Atado/manojo - 4 Kg
2025-04-17,Ajo,17.53,Atado/manojo - 4 Kg
2025-02-28,Arracacha Amarilla,151.75,Bulto - 50 Kg
2025-03-01,Arracacha Amarilla,152.95,Bulto - 50 Kg
2025-03-02,Arracacha Amarilla,152.32,Bulto - 50 Kg
2025-03-03,Arracacha Amarilla,150.62,Bulto - 50 Kg
2025-03-04,Arracacha Amarilla,151.12,Bulto - 50 Kg
2025-03-05,Arracacha Amarilla,151.46,Bulto - 50 Kg
2025-03-06,Arracacha Amarilla,153.64,Bulto - 50 Kg
2025-03-07,Arracacha Amarilla,149.43,Bulto - 50 Kg
2025-03-08,Arracacha Amarilla,148.82,Bulto - 50 Kg
2025-03-09,Arracacha Amarilla,147.37,Bulto - 50 Kg
2025-03-10,Arracacha Amarilla,142.89,Bulto - 50 Kg
2025-03-11,Arracacha Amarilla,145.9,Bulto - 50 Kg
2025-03-12,Arracacha Amarilla,145.28,Bulto - 50 Kg
2025-03-13,Arracacha Amarilla,149.31,Bulto - 50 Kg
2025-03-14,Arracacha Amarilla,143.21,Bulto - 50 Kg
2025-03-15,Arracacha Amarilla,143.41,Bulto - 50 Kg
2025-03-16,Arracacha Amarilla,141.96,Bulto - 50 Kg
2025-03-17,Arracacha Amarilla,138.9,Bulto - 50 Kg
2025-03-18,Arracacha Amarilla,142.75,Bulto - 50 Kg
2025-03-19,Arracacha Amarilla,141.17,Bulto - 50 Kg
2025-03-20,Arracacha Amarilla,141.58,Bulto - 50 Kg
2025-03-21,Arracacha Amarilla,138.18,Bulto - 50 Kg
2025-03-22,Arracacha Amarilla,142.81,Bulto - 50 Kg
2025-03-23,Arracacha Amarilla,137.2,Bulto - 50 Kg
2025-03-24,Arracacha Amarilla,141.17,Bulto - 50 Kg
2025-03-25,Arracacha Amarilla,144.38,Bulto - 50 Kg
2025-03-26,Arracacha Amarilla,138.02,Bulto - 50 Kg
2025-03-27,Arracacha Amarilla,138.87,Bulto - 50 Kg
2025-03-28,Arracacha Amarilla,140.2,Bulto - 50 Kg
2025-03-29,Arracacha Amarilla,138.99,Bulto - 50 Kg
2025-03-30,Arracacha Amarilla,136.9,Bulto - 50 Kg
2025-03-31,Arracacha Amarilla,140.14,Bulto - 50 Kg
2025-04-01,Arracacha Amarilla,132.88,Bulto - 50 Kg
2025-04-02,Arracacha Amarilla,130.95,Bulto - 50 Kg
2025-04-03,Arracacha Amarilla,128.16,Bulto - 50 Kg
2025-04-04,Arracacha Amarilla,133.1,Bulto - 50 Kg
2025-04-05,Arracacha Amarilla,128.43,Bulto - 50 Kg
2025-04-06,Arracacha Amarilla,129.36,Bulto - 50 Kg
2025-04-07,Arracacha Amarilla,131.63,Bulto - 50 Kg
2025-04-08,Arracacha Amarilla,127.54,Bulto - 50 Kg
2025-04-09,Arracacha Amarilla,130.45,Bulto - 50 Kg
2025-04-10,Arracacha Amarilla,132.61,Bulto - 50 Kg
2025-04-11,Arracacha Amarilla,129.29,Bulto - 50 Kg
2025-04-12,Arracacha Amarilla,135.37,Bulto - 50 Kg
2025-04-13,Arracacha Amarilla,138.02,Bulto - 50 Kg
2025-04-14,Arracacha Amarilla,141.56,Bulto - 50 Kg
2025-04-15,Arracacha Amarilla,137.53,Bulto - 50 Kg
2025-04-16,Arracacha Amarilla,137.36,Bulto - 50 Kg
2025-04-17,Arracacha Amarilla,141.04,Bulto - 50 Kg
2025-04-18,Arracacha Amarilla,140.59,Bulto - 50 Kg
2025-02-25,Arveja Verde En Vaina,271.68,Bulto - 50 Kg
2025-02-26,Arveja Verde En Vaina,272.51,Bulto - 50 Kg
2025-02-27,Arveja Verde En Vaina,271.11,Bulto - 50 Kg
2025-02-28,Arveja Verde En Vaina,273.58,Bulto - 50 Kg
2025-03-01,Arveja Verde En Vaina,274.36,Bulto - 50 Kg
2025-03-02,Arveja Verde En Vaina,272.99,Bulto - 50 Kg
2025-03-03,Arveja Verde En Vaina,278.8,Bulto - 50 Kg
2025-03-04,Arveja Verde En Vaina,276.67,Bulto - 50 Kg
2025-03-05,Arveja Verde En Vaina,273.99,Bulto - 50 Kg
2025-03-06,Arveja Verde En Vaina,278.33,Bulto - 50 Kg
2025-03-07,Arveja Verde En Vaina,275.72,Bulto - 50 Kg
2025-03-08,Arveja Verde En Vaina,279.89,Bulto - 50 Kg
2025-03-09,Arveja Verde En Vaina,281.28,Bulto - 50 Kg
2025-03-10,Arveja Verde En Vaina,277.97,Bulto - 50 Kg
2025-03-11,Arveja Verde En Vaina,282.19,Bulto - 50 Kg
2025-03-12,Arveja Verde En Vaina,281.74,Bulto - 50 Kg
2025-03-13,Arveja Verde En Vaina,283.2,Bulto - 50 Kg
2025-03-14,Arveja Verde En Vaina,286.0,Bulto - 50 Kg
2025-03-15,Arveja Verde En Vaina,282.37,Bulto - 50 Kg
2025-03-16,Arveja Verde En Vaina,282.0,Bulto - 50 Kg
2025-03-17,Arveja Verde En Vaina,248.22,Bulto - 50 Kg
2025-03-18,Arveja Verde En Vaina,263.37,Bulto - 50 Kg
2025-03-19,Arveja Verde En Vaina,279.85,Bulto - 50 Kg
2025-03-20,Arveja Verde En Vaina,280.68,Bulto - 50 Kg
2025-03-21,Arveja Verde En Vaina,280.55,Bulto - 50 Kg
2025-03-22,Arveja Verde En Vaina,281.65,Bulto - 50 Kg
2025-03-23,Arveja Verde En Vaina,280.03,Bulto - 50 Kg
2025-03-24,Arveja Verde En Vaina,282.91,Bulto - 50 Kg
2025-03-25,Arveja Verde En Vaina,279.47,Bulto - 50 Kg
2025-03-26,Arveja Verde En Vaina,285.44,Bulto - 50 Kg
2025-03-27,Arveja Verde En Vaina,285.25,Bulto - 50 Kg
2025-03-28,Arveja Verde En Vaina,286.29,Bulto - 50 Kg
2025-03-29,Arveja Verde En Vaina,289.86,Bulto - 50 Kg
2025-03-30,Arveja Verde En Vaina,296.96,Bulto - 50 Kg
2025-03-31,Arveja Verde En Vaina,299.55,Bulto - 50 Kg
2025-04-01,Arveja Verde En Vaina,311.43,Bulto - 50 Kg
2025-04-02,Arveja Verde En Vaina,320.95,Bulto - 50 Kg
2025-04-03,Arveja Verde En Vaina,259.85,Bulto - 50 Kg
2025-04-04,Arveja Verde En Vaina,268.31,Bulto - 50 Kg
2025-04-05,Arveja Verde En Vaina,276.97,Bulto - 50 Kg
2025-04-06,Arveja Verde En Vaina,289.11,Bulto - 50 Kg
2025-04-07,Arveja Verde En Vaina,301.71,Bulto - 50 Kg
2025-04-08,Arveja Verde En Vaina,300.43,Bulto - 50 Kg
2025-04-09,Arveja Verde En Vaina,297.51,Bulto - 50 Kg
2025-04-10,Arveja Verde En Vaina,280.35,Bulto - 50 Kg
2025-04-11,Arveja Verde En Vaina,290.77,Bulto - 50 Kg
2025-04-12,Arveja Verde En Vaina,298.23,Bulto - 50 Kg
2025-04-13,Arveja Verde En Vaina,310.31,Bulto - 50 Kg
2025-04-14,Arveja Verde En Vaina,320.12,Bulto - 50 Kg
2025-04-15,Arveja Verde En Vaina,317.71,Bulto - 50 Kg
2025-02-27,Banano Urabá,40.72,Caja de carton - 20 Kg
2025-02-28,Banano Urabá,41.12,Caja de carton - 20 Kg
2025-03-01,Banano Urabá,42.17,Caja de carton - 20 Kg
2025-03-02,Banano Urabá,42.11,Caja de carton - 20 Kg
2025-03-03,Banano Urabá,37.24,Caja de carton - 20 Kg
2025-03-04,Banano Urabá,38.12,Caja de carton - 20 Kg
2025-03-05,Banano Urabá,41.03,Caja de carton - 20 Kg
2025-03-06,Banano Urabá,41.03,Caja de carton - 20 Kg
2025-03-07,Banano Urabá,41.03,Caja de carton - 20 Kg
2025-03-08,Banano Urabá,47.71,Caja de carton - 20 Kg
2025-03-09,Banano Urabá,41.14,Caja de carton - 20 Kg
2025-03-10,Banano Urabá,42.27,Caja de carton - 20 Kg
2025-03-11,Banano Urabá,41.91,Caja de carton - 20 Kg
2025-03-12,Banano Urabá,41.3,Caja de carton - 20 Kg
2025-03-13,Banano Urabá,39.37,Caja de carton - 20 Kg
2025-03-14,Banano Urabá,41.52,Caja de carton - 20 Kg
2025-03-15,Banano Urabá,38.45,Caja de carton - 20 Kg
2025-03-16,Banano Urabá,39.53,Caja de carton - 20 Kg
2025-03-17,Banano Urabá,39.03,Caja de carton - 20 Kg
2025-03-18,Banano Urabá,40.16,Caja de carton - 20 Kg
2025-03-19,Banano Urabá,44.63,Caja de carton - 20 Kg
2025-03-20,Banano Urabá,36.27,Caja de carton - 20 Kg
2025-03-21,Banano Urabá,41.37,Caja de carton - 20 Kg
2025-03-22,Banano Urabá,36.77,Caja de carton - 20 Kg
2025-03-23,Banano Urabá,39.06,Caja de carton - 20 Kg
2025-03-24,Banano Urabá,42.18,Caja de carton - 20 Kg
2025-03-25,Banano Urabá,40.13,Caja de carton - 20 Kg
2025-03-26,Banano Urabá,37.84,Caja de carton - 20 Kg
2025-03-27,Banano Urabá,38.57,Caja de carton - 20 Kg
2025-03-28,Banano Urabá,41.36,Caja de carton - 20 Kg
2025-03-29,Banano Urabá,38.54,Caja de carton - 20 Kg
2025-03-30,Banano Urabá,40.43,Caja de carton - 20 Kg
2025-03-31,Banano Urabá,40.09,Caja de carton - 20 Kg
2025-04-01,Banano Urabá,38.7,Caja de carton - 20 Kg
2025-04-02,Banano Urabá,44.29,Caja de carton - 20 Kg
2025-04-03,Banano Urabá,41.27,Caja de carton - 20 Kg
2025-04-04,Banano Urabá,35.95,Caja de carton - 20 Kg
2025-04-05,Banano Urabá,40.37,Caja de carton - 20 Kg
2025-04-06,Banano Urabá,38.68,Caja de carton - 20 Kg
2025-04-07,Banano Urabá,41.7,Caja de carton - 20 Kg
2025-04-08,Banano Urabá,38.41,Caja de carton - 20 Kg
2025-04-09,Banano Urabá,39.77,Caja de carton - 20 Kg
2025-04-10,Banano Urabá,41.01,Caja de carton - 20 Kg
2025-04-11,Banano Urabá,41.73,Caja de carton - 20 Kg
2025-04-12,Banano Urabá,37.6,Caja de carton - 20 Kg
2025-04-13,Banano Urabá,39.33,Caja de carton - 20 Kg
2025-04-14,Banano Urabá,39.05,Caja de carton - 20 Kg
2025-04-15,Banano Urabá,38.69,Caja de carton - 20 Kg
2025-04-16,Banano Urabá,43.53,Caja de carton - 20 Kg
2025-04-17,Banano Urabá,40.81,Caja de carton - 20 Kg
2025-02-27,Cebolla Cabezona Blanca,4.43,Bulto - 50 Kg
2025-02-28,Cebolla Cabezona Blanca,11.26,Bulto - 50 Kg
2025-03-01,Cebolla Cabezona Blanca,16.13,Bulto - 50 Kg
2025-03-02,Cebolla Cabezona Blanca,16.43,Bulto - 50 Kg
2025-03-03,Cebolla Cabezona Blanca,13.8,Bulto - 50 Kg
2025-03-04,Cebolla Cabezona Blanca,18.35,Bulto - 50 Kg
2025-03-05,Cebolla Cabezona Blanca,24.32,Bulto - 50 Kg
2025-03-06,Cebolla Cabezona Blanca,22.84,Bulto - 50 Kg
2025-03-07,Cebolla Cabezona Blanca,27.63,Bulto - 50 Kg
2025-03-08,Cebolla Cabezona Blanca,30.76,Bulto - 50 Kg
2025-03-09,Cebolla Cabezona Blanca,29.83,Bulto - 50 Kg
2025-03-10,Cebolla Cabezona Blanca,34.04,Bulto - 50 Kg
2025-03-11,Cebolla Cabezona Blanca,30.15,Bulto - 50 Kg
2025-03-12,Cebolla Cabezona Blanca,37.06,Bulto - 50 Kg
2025-03-13,Cebolla Cabezona Blanca,41.07,Bulto - 50 Kg
2025-03-14,Cebolla Cabezona Blanca,41.55,Bulto - 50 Kg
2025-03-15,Cebolla Cabezona Blanca,49.79,Bulto - 50 Kg
2025-03-16,Cebolla Cabezona Blanca,46.14,Bulto - 50 Kg
2025-03-17,Cebolla Cabezona Blanca,50.59,Bulto - 50 Kg
2025-03-18,Cebolla Cabezona Blanca,54.21,Bulto - 50 Kg
2025-03-19,Cebolla Cabezona Blanca,52.88,Bulto - 50 Kg
2025-03-20,Cebolla Cabezona Blanca,47.13,Bulto - 50 Kg
2025-03-21,Cebolla Cabezona Blanca,52.33,Bulto - 50 Kg
2025-03-22,Cebolla Cabezona Blanca,50.02,Bulto - 50 Kg
2025-03-23,Cebolla Cabezona Blanca,48.04,Bulto - 50 Kg
2025-03-24,Cebolla Cabezona Blanca,50.92,Bulto - 50 Kg
2025-03-25,Cebolla Cabezona Blanca,50.4,Bulto - 50 Kg
2025-03-26,Cebolla Cabezona Blanca,48.8,Bulto - 50 Kg
2025-03-27,Cebolla Cabezona Blanca,60.14,Bulto - 50 Kg
2025-03-28,Cebolla Cabezona Blanca,59.23,Bulto - 50 Kg
2025-03-29,Cebolla Cabezona Blanca,60.23,Bulto - 50 Kg
2025-03-30,Cebolla Cabezona Blanca,61.32,Bulto - 50 Kg
2025-03-31,Cebolla Cabezona Blanca,63.17,Bulto - 50 Kg
2025-04-01,Cebolla Cabezona Blanca,60.02,Bulto - 50 Kg
2025-04-02,Cebolla Cabezona Blanca,69.27,Bulto - 50 Kg
2025-04-03,Cebolla Cabezona Blanca,66.1,Bulto - 50 Kg
2025-04-04,Cebolla Cabezona Blanca,74.7,Bulto - 50 Kg
2025-04-05,Cebolla Cabezona Blanca,81.18,Bulto - 50 Kg
2025-04-06,Cebolla Cabezona Blanca,85.56,Bulto - 50 Kg
2025-04-07,Cebolla Cabezona Blanca,88.75,Bulto - 50 Kg
2025-04-08,Cebolla Cabezona Blanca,94.58,Bulto - 50 Kg
2025-04-09,Cebolla Cabezona Blanca,99.01,Bulto - 50 Kg
2025-04-10,Cebolla Cabezona Blanca,98.82,Bulto - 50 Kg
2025-04-11,Cebolla Cabezona Blanca,101.7,Bulto - 50 Kg
2025-04-12,Cebolla Cabezona Blanca,100.71,Bulto - 50 Kg
2025-04-13,Cebolla Cabezona Blanca,98.61,Bulto - 50 Kg
2025-04-14,Cebolla Cabezona Blanca,101.8,Bulto - 50 Kg
2025-04-15,Cebolla Cabezona Blanca,100.61,Bulto - 50 Kg
2025-04-16,Cebolla Cabezona Blanca,101.63,Bulto - 50 Kg
2025-04-17,Cebolla Cabezona Blanca,101.26,Bulto - 50 Kg
2025-02-28,Cebolla Cabezona Roja,79.19,Bulto - 50 Kg
2025-03-01,Cebolla Cabezona Roja,80.07,Bulto - 50 Kg
2025-03-02,Cebolla Cabezona Roja,83.02,Bulto - 50 Kg
2025-03-03,Cebolla Cabezona Roja,83.09,Bulto - 50 Kg
2025-03-04,Cebolla Cabezona Roja,82.17,Bulto - 50 Kg
2025-03-05,Cebolla Cabezona Roja,82.78,Bulto - 50 Kg
2025-03-06,Cebolla Cabezona Roja,85.45,Bulto - 50 Kg
2025-03-07,Cebolla Cabezona Roja,82.05,Bulto - 50 Kg
2025-03-08,Cebolla Cabezona Roja,84.66,Bulto - 50 Kg
2025-03-09,Cebolla Cabezona Roja,83.51,Bulto - 50 Kg
2025-03-10,Cebolla Cabezona Roja,83.82,Bulto - 50 Kg
2025-03-11,Cebolla Cabezona Roja,86.8,Bulto - 50 Kg
2025-03-12,Cebolla Cabezona Roja,86.59,Bulto - 50 Kg
2025-03-13,Cebolla Cabezona Roja,86.91,Bulto - 50 Kg
2025-03-14,Cebolla Cabezona Roja,88.23,Bulto - 50 Kg
2025-03-15,Cebolla Cabezona Roja,86.0,Bulto - 50 Kg
2025-03-16,Cebolla Cabezona Roja,87.66,Bulto - 50 Kg
2025-03-17,Cebolla Cabezona Roja,86.02,Bulto - 50 Kg
2025-03-18,Cebolla Cabezona Roja,87.63,Bulto - 50 Kg
2025-03-19,Cebolla Cabezona Roja,87.06,Bulto - 50 Kg
2025-03-20,Cebolla Cabezona Roja,80.19,Bulto - 50 Kg
2025-03-21,Cebolla Cabezona Roja,82.86,Bulto - 50 Kg
2025-03-22,Cebolla Cabezona Roja,81.7,Bulto - 50 Kg
2025-03-23,Cebolla Cabezona Roja,89.18,Bulto - 50 Kg
2025-03-24,Cebolla Cabezona Roja,84.65,Bulto - 50 Kg
2025-03-25,Cebolla Cabezona Roja,85.9,Bulto - 50 Kg
2025-03-26,Cebolla Cabezona Roja,92.32,Bulto - 50 Kg
2025-03-27,Cebolla Cabezona Roja,81.58,Bulto - 50 Kg
2025-03-28,Cebolla Cabezona Roja,83.75,Bulto - 50 Kg
2025-03-29,Cebolla Cabezona Roja,86.26,Bulto - 50 Kg
2025-03-30,Cebolla Cabezona Roja,87.48,Bulto - 50 Kg
2025-03-31,Cebolla Cabezona Roja,88.21,Bulto - 50 Kg
2025-04-01,Cebolla Cabezona Roja,90.15,Bulto - 50 Kg
2025-04-02,Cebolla Cabezona Roja,88.65,Bulto - 50 Kg
2025-04-03,Cebolla Cabezona Roja,91.95,Bulto - 50 Kg
2025-04-04,Cebolla Cabezona Roja,89.71,Bulto - 50 Kg
2025-04-05,Cebolla Cabezona Roja,88.35,Bulto - 50 Kg
2025-04-06,Cebolla Cabezona Roja,89.36,Bulto - 50 Kg
2025-04-07,Cebolla Cabezona Roja,90.83,Bulto - 50 Kg
2025-04-08,Cebolla Cabezona Roja,93.87,Bulto - 50 Kg
2025-04-09,Cebolla Cabezona Roja,98.36,Bulto - 50 Kg
2025-04-10,Cebolla Cabezona Roja,100.49,Bulto - 50 Kg
2025-04-11,Cebolla Cabezona Roja,100.49,Bulto - 50 Kg
2025-04-12,Cebolla Cabezona Roja,98.99,Bulto - 50 Kg
2025-04-13,Cebolla Cabezona Roja,99.06,Bulto - 50 Kg
2025-04-14,Cebolla Cabezona Roja,100.46,Bulto - 50 Kg
2025-04-15,Cebolla Cabezona Roja,97.1,Bulto - 50 Kg
2025-04-16,Cebolla Cabezona Roja,97.19,Bulto - 50 Kg
2025-04-17,Cebolla Cabezona Roja,98.56,Bulto - 50 Kg
2025-04-18,Cebolla Cabezona Roja,99.57,Bulto - 50 Kg
2025-02-28,Cebolla Larga,69.44,Atado/manojo - 30 Kg
2025-03-01,Cebolla Larga,71.64,Atado/manojo - 30 Kg
2025-03-02,Cebolla Larga,70.28,Atado/manojo - 30 Kg
2025-03-03,Cebolla Larga,68.1,Atado/manojo - 30 Kg
2025-03-04,Cebolla Larga,68.25,Atado/manojo - 30 Kg
2025-03-05,Cebolla Larga,66.14,Atado/manojo - 30 Kg
2025-03-06,Cebolla Larga,67.98,Atado/manojo - 30 Kg
2025-03-07,Cebolla Larga,67.3,Atado/manojo - 30 Kg
2025-03-08,Cebolla Larga,68.4,Atado/manojo - 30 Kg
2025-03-09,Cebolla Larga,65.97,Atado/manojo - 30 Kg
2025-03-10,Cebolla Larga,68.52,Atado/manojo - 30 Kg
2025-03-11,Cebolla Larga,70.42,Atado/manojo - 30 Kg
2025-03-12,Cebolla Larga,66.99,Atado/manojo - 30 Kg
2025-03-13,Cebolla Larga,67.88,Atado/manojo - 30 Kg
2025-03-14,Cebolla Larga,68.33,Atado/manojo - 30 Kg
2025-03-15,Cebolla Larga,66.01,Atado/manojo - 30 Kg
2025-03-16,Cebolla Larga,67.13,Atado/manojo - 30 Kg
2025-03-17,Cebolla Larga,66.57,Atado/manojo - 30 Kg
2025-03-18,Cebolla Larga,66.61,Atado/manojo - 30 Kg
2025-03-19,Cebolla Larga,64.72,Atado/manojo - 30 Kg
2025-03-20,Cebolla Larga,55.05,Atado/manojo - 30 Kg
2025-03-21,Cebolla Larga,56.0,Atado/manojo - 30 Kg
2025-03-22,Cebolla Larga,57.9,Atado/manojo - 30 Kg
2025-03-23,Cebolla Larga,56.92,Atado/manojo - 30 Kg
2025-03-24,Cebolla Larga,59.31,Atado/manojo - 30 Kg
2025-03-25,Cebolla Larga,53.47,Atado/manojo - 30 Kg
2025-03-26,Cebolla Larga,56.74,Atado/manojo - 30 Kg
2025-03-27,Cebolla Larga,60.37,Atado/manojo - 30 Kg
2025-03-28,Cebolla Larga,65.63,Atado/manojo - 30 Kg
2025-03-29,Cebolla Larga,60.88,Atado/manojo - 30 Kg
2025-03-30,Cebolla Larga,62.07,Atado/manojo - 30 Kg
2025-03-31,Cebolla Larga,63.8,Atado/manojo - 30 Kg
2025-04-01,Cebolla Larga,63.25,Atado/manojo - 30 Kg
2025-04-02,Cebolla Larga,68.95,Atado/manojo - 30 Kg
2025-04-03,Cebolla Larga,68.48,Atado/manojo - 30 Kg
2025-04-04,Cebolla Larga,70.3,Atado/manojo - 30 Kg
2025-04-05,Cebolla Larga,70.68,Atado/manojo - 30 Kg
2025-04-06,Cebolla Larga,73.75,Atado/manojo - 30 Kg
2025-04-07,Cebolla Larga,71.9,Atado/manojo - 30 Kg
2025-04-08,Cebolla Larga,73.85,Atado/manojo - 30 Kg
2025-04-09,Cebolla Larga,78.2,Atado/manojo - 30 Kg
2025-04-10,Cebolla Larga,70.98,Atado/manojo - 30 Kg
2025-04-11,Cebolla Larga,64.86,Atado/manojo - 30 Kg
2025-04-12,Cebolla Larga,68.66,Atado/manojo - 30 Kg
2025-04-13,Cebolla Larga,64.86,Atado/manojo - 30 Kg
2025-04-14,Cebolla Larga,59.06,Atado/manojo - 30 Kg
2025-04-15,Cebolla Larga,56.57,Atado/manojo - 30 Kg
2025-04-16,Cebolla Larga,62.71,Atado/manojo - 30 Kg
2025-04-17,Cebolla Larga,59.77,Atado/manojo - 30 Kg
